satellite,date,temperature
Landsat 7,2018-09-07,297.56293841748266
Landsat 8,2018-09-15,298.41057229270587
Landsat 8,2018-09-15,298.413291439201
Landsat 7,2018-09-23,298.01883596
Landsat 7,2018-10-09,299.85478266602206
Landsat 8,2018-11-18,300.6838365760077
Landsat 8,2018-11-18,300.6915933389205
Landsat 7,2018-12-28,296.25805931155304
Landsat 8,2019-01-05,301.4105874535025
Landsat 8,2019-01-05,301.41570395806934
Landsat 7,2019-01-13,297.7849899236811
Landsat 7,2019-01-29,296.15977695319475
Landsat 8,2019-02-06,295.58917945236055
Landsat 8,2019-02-06,295.5897533935506
Landsat 7,2019-02-14,293.57416463701037
Landsat 8,2019-03-10,300.50780488498725
Landsat 8,2019-03-10,300.50771473236455
Landsat 7,2019-04-19,299.5357885132185
Landsat 7,2019-05-05,295.75596384652073
Landsat 7,2019-06-06,299.784002654192
Landsat 7,2019-07-08,286.9697218721059
Landsat 7,2019-08-09,298.57011375714285
Landsat 8,2019-09-02,299.9959634024674
Landsat 7,2019-09-10,298.34342647485363
Landsat 8,2019-10-04,300.152899559732
Landsat 8,2019-10-04,300.1522029743648
Landsat 8,2019-11-05,295.4927355501099
Landsat 7,2019-12-15,293.64655038238095
Landsat 8,2020-01-08,297.81426684520295
Landsat 8,2020-01-08,297.8108990116883
Landsat 8,2020-01-24,296.98516162211143
Landsat 8,2020-01-24,296.9899208721222
Landsat 8,2020-02-09,298.2142831852993
Landsat 8,2020-02-09,298.21269598049304
Landsat 7,2020-02-17,305.9165832780068
Landsat 7,2020-03-20,300.63533149034
Landsat 7,2020-05-07,299.4274552897524
Landsat 7,2020-05-23,296.02654281965533
Landsat 8,2020-05-31,299.0875151426923
Landsat 8,2020-05-31,299.08510260664053
Landsat 8,2020-06-16,296.29511376890224
Landsat 8,2020-06-16,296.2932175129722
Landsat 7,2020-06-24,300.10853601915676
Landsat 8,2020-07-02,298.88243417150613
Landsat 8,2020-07-02,298.81100003994925
Landsat 7,2020-07-10,298.3054129191815
Landsat 8,2020-07-18,297.1466881984899
Landsat 8,2020-07-18,297.15192238960236
Landsat 7,2020-07-26,298.34712788014474
Landsat 7,2020-08-27,297.5594071836612
Landsat 8,2020-09-20,300.56980990643353
Landsat 8,2020-10-06,300.7186627172622
Landsat 8,2020-10-06,300.72042854934676
Landsat 8,2020-10-22,295.46641118176336
Landsat 8,2020-10-22,295.46679650414137
Landsat 7,2020-11-15,294.7977526814373
Landsat 8,2020-11-23,298.3793626855595
Landsat 8,2020-11-23,298.44828586495225
Landsat 8,2021-01-26,297.7283938787243
Landsat 8,2021-01-26,297.71605082533426
Landsat 7,2021-02-03,299.22456782747076
Landsat 8,2021-02-27,298.39785154406326
Landsat 8,2021-02-27,298.4012860386544
Landsat 7,2021-03-07,292.82845534479776
Landsat 8,2021-03-15,298.49919331248503
Landsat 8,2021-03-15,298.49589778411996
Landsat 7,2021-03-23,293.40113159257885
Landsat 8,2021-04-16,299.99345770555374
Landsat 8,2021-04-16,299.9928835355499
Landsat 8,2021-05-18,301.3099000161734
Landsat 8,2021-05-18,301.31277117127854
Landsat 7,2021-05-26,297.45356209759285
Landsat 8,2021-06-03,288.8818172221975
Landsat 7,2021-06-11,298.54316948733
Landsat 7,2021-06-27,299.35529192407716
Landsat 8,2021-07-05,300.26245818294564
Landsat 8,2021-07-05,300.26043058791555
Landsat 7,2021-07-13,300.1890459564028
Landsat 8,2021-07-21,299.0963483454922
Landsat 8,2021-07-21,299.0992919582891
Landsat 8,2021-08-06,298.69788450678163
Landsat 8,2021-08-06,298.70750330350256
Landsat 8,2021-08-22,298.36970112063193
Landsat 8,2021-08-22,298.372096953279
Landsat 8,2021-09-07,297.61892762
Landsat 8,2021-10-25,290.15880990194535
Landsat 9,2021-12-04,300.63537977004415
Landsat 9,2021-12-04,300.6345929557826
Landsat 7,2021-12-04,300.1598144642096
Landsat 8,2021-12-12,298.43168097256415
Landsat 8,2021-12-12,298.4317285658269
Landsat 7,2021-12-20,280.2462889641862
Landsat 9,2022-02-06,299.5358169072434
Landsat 9,2022-02-06,299.5349971438
Landsat 8,2022-03-02,286.1857537624652
Landsat 8,2022-03-02,286.1811967838213
Landsat 7,2022-03-10,280.75488459666
